"Qty","Value"
"4","1uF"
"4","10uF"
"3","10uF"
"1","47nF"
"1","44uF"
"2","10uF"
"3","22uF"
"12","100nF"
"1","2.2uF"
"2","22uF"
"1","2.2uF"
"2","20pF"
"2","6.8pF"
"5","100nf"
"1","TF-01A"
"1","LED"
"1","WS2812B-2020"
"1","PRTR5V0U2X"
"3","Screw_Terminal_01x02"
"1","BM05B-GHS-TBT_LF__SN__N_"
"1","FCM1608KF-601T03"
"1","DFE252012F-1R0M=P2"
"1","XFL4020-152MEC"
"1","YHNR3015-5R6M"
"2","AO3400A"
"2","5.1K"
"1",".383k"
"1","5.23K"
"1","30.1K"
"19","10K"
"1","100K"
"1","22.1K"
"2","100K"
"3","100"
"4","Conn_01x03"
"2","TS-1088-AR02016"
"1","STM32F722RETx"
"1","BQ25883RGER"
"1","ICM-45686"
"1","BMP580"
"1","TPS63070RNMR"
"1","LMR51430"
"1","TYPE-C 16PIN 2MD(073)"
"1","X322525MOB4SI"
"1","Q13FC1350000400"
